Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
Issue with subtitles or closed captions,1,My problem is not solved.,274,Product Features & Content,Playback & Streaming,Bug,Complaint,Negative,Frustration,Technical,Unresolved technical issue with closed captions,Support Interaction,Medium,High,Inconvenience,0.85,Policy & Brand
Non-SUJ identified issues,3,"The agent provided quick service, however I didn't get a solution; they simply said I can't have a family account and that the account is blocked when my son travels outside of Brazil.",276,Account Management & Security,Policy & Enforcement,Other,Complaint,Negative,Disappointment,Policy,Geographic restrictions on family account usage and eligibility,Resolution,Medium,Medium,Inconvenience,0.9,Policy & Brand
Non-SUJ identified issues,3,"They were helpful, but I didn't like the solution of using the form.",279,Customer Support Experience,Support Experience Feedback,UX Issue,Feedback,Neutral,Disappointment,Process,Customer dissatisfaction with the requirement to use a form for resolution,Resolution,Low,Medium,Inconvenience,0.88,Support & QA
Non-SUJ identified issues,1,"YouTube has been degrading and not working properly since 2019. This is the first thing. Second, there are too many stories. YouTube positions itself as a video hosting service, not as TikTok or any other platform. Thank you very much. Bring back the old YouTube design.",281,Product Features & Content,App Features & Navigation,UX Issue,Feedback,Negative,Disappointment,Product,Dissatisfaction with platform evolution and feature bloat (Stories/TikTok-like features),Product Usage,Medium,Low,Inconvenience,0.9,Policy & Brand
Form of payment question or issue,1,I can't pay for YouTube Premium.,283,"Billing, Payments & Sales",Billing & Payment Issues,System Failure,Complaint,Negative,Frustration,Technical,Technical barrier preventing completion of Premium subscription purchase,Checkout/Payment,High,Medium,Financial Impact,0.88,Sales & Product
Question about package/plan and how to purchase,1,"Even though my location is Türkiye, it's not working.",284,Subscriptions & Memberships,Plan Management (Individual),System Failure,Complaint,Negative,Confusion,Policy,Location-based service restriction or geo-location detection error,Access/Activation,Medium,Medium,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,1,It didn't solve my problem.,286,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,Unknown,Unknown,Resolution,Medium,Medium,Inconvenience,0.7,Support & QA
Student plan question or issue,1,"very friendly, very professional and helpful",287,Subscriptions & Memberships,Plan Management (Individual),Other,Feedback,Positive,Satisfaction,People,Professional and helpful agent behavior,N/A,Low,Low,Other,0.9,Sales & Product
I want to ask about family plan abuse,2,I received the instructions to resolve my problem but after following them the issue wasn't solved,288,Subscriptions & Memberships,Plan Management (Individual),Technical,Complaint,Negative,Disappointment,Technical,Provided instructions failed to resolve the technical issue,Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,3,"I did not receive an adequate response regarding the issue, and YouTube continues to restrict my access.",292,Account Management & Security,Policy & Enforcement,System Failure,Complaint,Negative,Frustration,Technical,Unresolved account restriction despite customer seeking support,Resolution,High,High,Trust Loss,0.88,Policy & Brand
Non-SUJ identified issues,4,The person I was chatting with wanted to get rid of me before even understanding the problem. I had to insist that the issue be addressed.,293,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent attempted to close the interaction before understanding the customer's issue,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,Fast and efficient,297,Cancellations & Refunds,Cancellations,Other,Feedback,Positive,Satisfaction,Process,Efficient handling of cancellation/refund request,N/A,Low,Low,Other,0.9,Support & QA
Question or issue with core / main features,1,It didn't solve my problem.,301,Product Features & Content,General Feedback,Other,Complaint,Negative,Frustration,Technical,Support interaction failed to provide a functional resolution for core features,Support Interaction,High,High,Inconvenience,0.9,Policy & Brand
I want to ask about family plan abuse,1,"Abusive company, harms the customer! Damages and causes harm to the consumer.",302,Subscriptions & Memberships,Policy & Enforcement,Miscommunication,Complaint,Negative,Anger,Policy,Perceived unfairness or aggressive enforcement of family plan abuse policies,Policy Enforcement,Critical,Unknown,Trust Loss,0.85,Sales & Product
I want to ask about family plan abuse,2,The problem was not resolved.,303,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,Process,Ineffective support process leading to unresolved customer inquiry,Support Interaction,Medium,High,Inconvenience,0.9,Sales & Product
I want to know the status of my transaction,1,terrible,304,"Billing, Payments & Sales",Billing & Payment Issues,Other,Complaint,Negative,Frustration,Unknown,General failure in transaction transparency or status communication,Information Retrieval,High,Unknown,Inconvenience,0.8,Sales & Product
Form of payment question or issue,1,Wait for my case to unfold.,305,"Billing, Payments & Sales",Billing & Payment Issues,Delay,Complaint,Negative,Disappointment,Process,Pending case resolution or lack of immediate update,Resolution,Medium,Medium,Delay,0.75,Sales & Product
Free trial question or issue,1,It didn't solve my problem.,306,Advertising & Promotions,Ad Experience,Other,Complaint,Negative,Disappointment,Process,Support interaction failed to provide a solution,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
Question about package/plan and how to purchase,2,"I received good service, but the problem wasn't resolved.",307,Subscriptions & Memberships,Plan Management (Individual),Other,Feedback,Negative,Disappointment,Technical,Agent service quality was high but technical resolution was not achieved,Resolution,Medium,Medium,Inconvenience,0.9,Sales & Product
Form of payment question or issue,5,"I can't think of anything specific right now, but please try to be as problem-free as possible. System issues, bugs, etc., negatively impact our usage, and they happen frequently when you introduce new features. Also, please consider the suggestions we provide. Anyone who contacts your customer service feels hopeless; it's like talking to a wall.",312,Product Features & Content,General Feedback,Bug,Feedback,Negative,Disappointment,Product,Regression issues during new feature deployment and perceived lack of empathy in support,Product Usage,Medium,Medium,Trust Loss,0.88,Policy & Brand
Question or issue with core / main features,1,"They removed my playlist that I updated years ago, and there wasn't a single solution to recover it?????",313,Product Features & Content,General Feedback,System Failure,Complaint,Negative,Frustration,Technical,Unexpected deletion of user-generated content and lack of recovery tools,Resolution,High,Medium,Trust Loss,0.9,Policy & Brand
Non-SUJ identified issues,1,The reason is that he sees universal music listeners as perverts; blocking videos of immoral people is a crime.,315,"Policy, Trust & Safety",Trust & Safety,Other,Complaint,Negative,Anger,Policy,Disagreement with content filtering and moral standards applied to video blocking,Service Delivery,Medium,Low,Inconvenience,0.85,Policy & Brand
Non-SUJ identified issues,5,"The service was great, the issue resolution wasn't, but that's not the analyst's responsibility; anyway, I tried.",323,Customer Support Experience,Support Experience Feedback,Other,Feedback,Neutral,Disappointment,Product,Product or system limitations preventing resolution despite agent effort,Resolution,Medium,Medium,Inconvenience,0.88,Support & QA
Question about package/plan and how to purchase,1,The proposed solution is ridiculous.,328,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Anger,Policy,Proposed resolution did not meet customer expectations or needs,Resolution,Medium,Medium,Inconvenience,0.85,Support & QA
Playback Issues,4,"Bernardo was attentive. But the problem is with the system, which is malfunctioning.",329,Technical & Playback Issues,App Performance & Crashing,System Failure,Feedback,Neutral,Satisfaction,Technical,Underlying technical bug despite positive support interaction,Product Usage,Medium,Low,Inconvenience,0.9,Sales & Product
Question about package/plan and how to purchase,5,It didn't solve the problem.,330,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,People,Support agent failed to provide an effective solution for the purchase query,Resolution,Medium,Medium,Inconvenience,0.9,Sales & Product
